Type, RunNo, EvNo, E1, px1, py1, pz1, pt1, eta1, phi1, Q1, E2, px2, py2, pz2, pt2, eta2, phi2, Q2, M
GT,  140124,  907501566,  11.8799, 1.42288, 1.76538, 11.6611, 2.26741130781, 2.34008760028, 0.892413131064,  -1,  3.98643, -0.558703, 1.10566, 3.78758, 1.23880308274, 1.83645924764, 2.03868430838,  1,  2.02258
GT,  140124,  907585248,  4.79647, -0.551146, -0.929951, -4.67188, 1.0810045216, -2.16994180636, -2.1058022745,  1,  8.157, -2.07794, 0.858014, -7.84037, 2.24811535909, -1.96228907472, 2.75000189524,  -1,  2.07818
GT,  140124,  907593613,  10.0048, 1.47585, -1.11242, -9.83206, 1.8481372998, -2.37333582287, -0.645895954799,  -1,  4.29801, -0.826418, -1.05517, -4.08233, 1.34027998553, -1.83285553291, -2.23521429214,  1,  2.41667
GT,  140124,  907598223,  6.04361, 3.43841, -1.34691, -4.78301, 3.69280785801, -1.07553515926, -0.37335217301,  1,  4.18939, -0.756157, 0.669905, -4.06439, 1.01022082619, -2.10034068193, 2.41660354393,  1,  4.33415
GT,  140124,  907599358,  13.0015, 1.23718, 2.00353, -12.7861, 2.35472860714, -2.393453509, 1.01760837676,  1,  3.11154, 0.550966, -0.858141, -2.93778, 1.01978895318, -1.7800535829, -1.0000330053,  1,  2.80747
GT,  140124,  907655092,  6.27902, -0.656751, 2.94111, -5.50759, 3.01354440951, -1.36377224728, 1.790492465,  1,  4.02168, 0.787463, -0.111005, -3.94085, 0.795248443189, -2.30367271054, -0.140042611806,  1,  2.9673
GT,  140124,  907739110,  9.37915, -1.27165, 4.60337, 8.0715, 4.77578360894, 1.29578451177, 1.84031803179,  -1,  3.6759, -0.590789, -0.691156, 3.56011, 0.90924598369, 2.07400028966, -2.27806112572,  -1,  4.04548
GT,  140124,  907740850,  5.82921, -0.402999, -1.31986, -5.66252, 1.38001399036, -2.11945101461, -1.86714008747,  -1,  3.47682, -0.185944, 0.921633, -3.34562, 0.940203466184, -1.98164164091, 1.76987874698,  1,  2.22494
GT,  140124,  907741654,  16.6634, -3.61781, -1.45081, -16.2007, 3.89787106665, -2.13193864741, -2.76020826757,  1,  5.34123, -1.16598, 1.01794, -5.11096, 1.54780851658, -1.90987189703, 2.42387731538,  -1,  2.63494
GT,  140124,  907801989,  9.58789, 3.47519, -1.02378, -8.87645, 3.62285398885, -1.6285475634, -0.286492427135,  1,  5.1909, -0.0889522, -2.2095, -4.69516, 2.21128983715, -1.49744141173, -1.61103357016,  -1,  3.50762
GT,  140124,  907821155,  7.89152, -0.412421, -1.73501, 7.68665, 1.7833538015, 2.16732947799, -1.80417041701,  -1,  4.53431, 1.13116, 0.310942, 4.37865, 1.17311886566, 2.02770210859, 0.268261827549,  -1,  2.50703
GT,  140124,  907897809,  23.5265, 3.58836, 5.96656, -22.4724, 6.96248272696, -1.88807614952, 1.0293393343,  -1,  10.7088, -0.157238, 2.70587, -10.3596, 2.71043469679, -2.05064170456, 1.62884101199,  1,  2.67085
GT,  140124,  907924089,  10.5497, 1.32833, 1.4923, 10.3582, 1.9978538182, 2.34802535717, 0.843465215144,  -1,  8.973, -0.590315, -1.80224, 8.76967, 1.89645480221, 2.23595143523, -1.88732851646,  1,  3.82328
GT,  140124,  907938799,  12.1683, -2.66036, -1.54475, 11.7726, 3.07632376256, 2.05183643641, -2.61551925215,  -1,  3.08919, 0.318586, -1.16149, 2.84278, 1.20439032689, 1.59407877096, -1.30308959001,  1,  2.52508
GT,  140124,  907971375,  7.23791, 1.16118, -1.90579, 6.88446, 2.23167527129, 1.84495284045, -1.02357346805,  -1,  4.45906, 1.53307, 1.3925, 3.9475, 2.0710769843, 1.40079551029, 0.7373863324,  1,  3.45911
GT,  140124,  907996201,  13.3134, -7.36614, 1.91793, 10.9224, 7.61173265325, 1.15812560318, 2.88687702113,  -1,  3.18644, 0.37453, 0.687788, 3.08689, 0.783150722303, 2.08045753672, 1.07215256096,  -1,  4.50715
GT,  140124,  908003688,  8.52218, 2.16614, 0.29239, -8.23643, 2.18578462153, -2.03689837066, 0.134171091129,  1,  4.28221, 0.35774, -2.08926, -3.7193, 2.11966630751, -1.328208932, -1.40121281694,  -1,  3.37851
GT,  140124,  908012202,  14.0295, 2.34552, -1.60289, -13.7384, 2.8409013398, -2.27974323897, -0.599486778911,  1,  3.36623, -0.776543, 0.12531, -3.27133, 0.786588600826, -2.13254399671, 2.98160280787,  1,  2.93833
GT,  140124,  908067052,  11.8874, 2.51501, -0.218918, -11.6157, 2.52451983372, -2.23105891228, -0.0868257397058,  -1,  6.33574, -2.25165, -0.616952, -5.88896, 2.33464290477, -1.65552727623, -2.87415641352,  -1,  4.98994
GG,  140124,  908074692,  5.7226, 1.51968, -2.0923, -5.10391, 2.58595177689, -1.43181447651, -0.942623250205,  1,  4.36964, 1.7816, -3.25075, -2.31109, 3.70694943619, -0.588827084915, -1.06944520932,  1,  2.72481
GG,  140124,  908098223,  22.6371, -0.111837, -5.68518, 21.9111, 5.68627990403, 2.0585114375, -1.59046546257,  1,  10.9264, 2.05191, -3.06302, 10.2851, 3.6867907682, 1.74976444639, -0.980560200442,  -1,  3.10237
